PNUM,PARTICIPANTID,IPADDRESS,VAR00001,START,END,ORG,RANK,MOS,YRCOMMISSION,PLYESNO,PLMONTHS,NUMNCOSSUPERVISE,PROMOTEYESNO,BBAP1,BBAP2,BBAP3,BBAP4,BBAP5,BBAP6,BBAP7,BBAP8,SBAP1,SBAP2,SBAP3,SBAP4,SBAP5,SBAP6,SBAP7,SBAP8,SBAP9,SBAP10,SBAP11,SBAP12,SBAP13,SBAP14,SBAP15,SBAP16,SBAP17,SBAP18,SBAP19,SBAP20,SBAP21,SBAP22,SBAP23,SBAP24,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,SENIORITY,INVOLVEMENT,INVOLEMENTTEXT,MOSTCOMPETENT,OE1,OE2,APSCORE,COMPSCORE,SvC,SCvO,SvO,CvSC,CREATEAPOSITIVEENVIRONMENT,GETRESULTS,PREPARESELFTOLEAD,DEVELOPLEADERS,LEADBYEXAMPLE,COMMUNICATE,HANDLINGEMERGENCIES,INTERPERSONALADAPTABILITY,UNPREDICTABLEWORKSIT,PHYSICALLYORIENTED,LEARNINGNEWTECH,HANDLINGWORKSTRESS,CULTURALADAPTABILITY,SOLVINGPROBLEMSCREATIVELY,YRSSERVICE,RANKCODE,SAMPLENUMBER,SAMPLECODE,COMPSCOREMD,SENIORITYCODE,SENIORITYCODETTEST,APSCORETTEST,APSCOREH3,COMPSCOREH3,SENIORITYCODEH3,INTH3,CSCOREMDH4,INVOLVEMENTCODE,COMPxINVOLVE,COMPxRANK,BBCOMP,SBCOMP,NEWSENIORITY,NEWINTERACTION,H3SENIORITY,H3NEWINTERACTION,Z_AP,Z_COMP,ZCREATEAPOSITIVEENVIRONMENT,ZGETRESULTS,ZPREPARESELFTOLEAD,ZDEVELOPLEADERS,ZLEADBYEXAMPLE,ZCOMMUNICATE,CompetenceXSeniorityCodeTest
40,R_3sspXLq6gnGnNP8,70.193.65.96,1,12/17/2015 8:42:09,12/17/2015 8:57:08,1,2,19A,2011,1,15,12,1,6,5,6,7,5,6,4,5,6,6,5,5,6,5,7,5,7,7,7,6,7,5,6,6,6,5,5,5,6,6,6,4,6,6,7,7,5,6,7,7,6,7,2,2, ,2,Time in grade,You do not get the most competent leaders at those critical leadership position,5.71875,6.4,1,-1,1,-1,6.666666667,7,6,6,6,6,5.75,5.25,6.25,6.75,5.75,5.75,5,5.25,5,1, ,-1,.786,.5,.5,6.1875,6.1875,6.8,.5,3.4,1.254137931,-.5,-.393,.786,5.5,5.79166666666667,.5,.393,-1,-.786,.771296952515946,1.17306429466898,1.22576630765019,1.15444850514449,.928283123944548,.466663987007481,-.0620444905704673,.67873688619653,3.2
41,R_1hZohAKEOU4SHVV,75.76.42.95,1,12/17/2015 15:30:31,12/17/2015 15:38:03,1,1,19A,2012,1,11,20,1,6,5,5,6,3,5,3,4,7,5,3,3,4,5,4,3,6,4,5,4,5,6,3,5,4,3,6,4,3,5,6,3,6,5,6,6,5,5,7,5,6,6,1,2, ,1,Promoting on time in service rather than competence,Not all promotions are based on competence,4.46875,5.7,-1,-1,-2,0,5.666666667,6,6,5,5,6,5.25,4.25,4.5,4.75,4.25,4.25,4,4.5,4,-1, ,-1,.086,-.5, , , , , , , ,-.5,-.043,-.086,4.625,4.41666666666667,-.5,-.043,1,.086,-1.00049610205528,.128350546236046,-.130614442107041,.125732015411775,.928283123944548,-.511108176246289,-.992711849127468,.67873688619653, 
43,R_11YKy5nKAUcSm5c,204.34.247.203,2,12/18/2015 12:49:54,12/18/2015 13:06:25,1,2,18A,2007,1,12,11,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2, ,2,If the less comptetent NCO gets promoted during the rated period.,They are senior for a reason... they are not able to get promoted due to potential and/or performance.,6,6,1,-1,1,-1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,1, ,1,.386,.5, , , , , , , ,-.5,-.193,.386,6,6,.5,.193,-1,-.386,1.16995038979447,.576085009850158,.321512474026575,.125732015411775,.928283123944548,.466663987007481,-.0620444905704673,.67873688619653, 
47,R_2uWo2ZJUZLIfN48,108.197.33.1,2,1/25/2016 22:45:33,1/25/2016 23:09:02,1,2,90A,2006,1,12,30,1,6,6,7,7,5,7,6,7,7,5,5,6,4,3,4,6,6,6,7,7,6,6,5,5,7,6,6,7,7,6,5,7,7,6,6,7,7,7,5,5,6,6,3,1,Mutual agreement: 1SG and myself (CDR),2,"Senior NCOs resent getting ""passed over"" if they are obviously senior to an NCO that gets a competence based promotion","There have been times when NCOs with seniority get the job because they need it for career progression, but are mediocre or below average performers. I have had E5s that have outperformed E7s at times.",5.9375,6.2,0,2,1,1,6.333333333,6,6,6,7,6,5.75,4.75,5.75,6.75,5.5,6.25,6.5,6.25,10,1, ,1,.586,0, , , , , , , ,.5,.293,.586,6.375,5.79166666666667,-.5,-.293,1,.586,1.08136073706591,.874574652259567,.77363939016019,.125732015411775,.928283123944548,.466663987007481,.868622867986533,.67873688619653, 
48,R_1ilXIHACZHppcFq,147.169.232.6,2,1/27/2016 14:55:46,1/27/2016 15:10:08,1,2,19A,2009,1,18,13,1,6,5,6,5,4,6,4,5,7,6,5,5,5,5,6,5,6,4,4,6,5,5,4,4,6,4,6,4,3,4,5,6,6,5,6,6,4,6,5,5,6,6,2,2, ,2,Too much attention is paid to time in grade and time in service.,It doesn't reward competency adequately enough.,5.03125,5.5,1,-1,1,-1,5.666666667,6,4.5,5,6,6,6,5,5.75,4.75,4.5,5,4.25,5,7,1, ,1,-.114,.5, , , , , , , ,-.5,.057,-.114,5.125,5,.5,-.057,-1,.114,-.203189227498228,-.170139096173363,-.130614442107041,.125732015411775,-.720640846220112,-.511108176246289,-.0620444905704673,.67873688619653, 
50,R_1eJNtQ9AaEiHV1H,140.187.201.191,2,1/29/2016 8:55:31,1/29/2016 9:24:10,1,2,12A,2011,1,35,13,1,6,5,6,7,4,5,5,7,7,5,6,5,6,4,6,6,7,7,5,6,7,5,4,6,7,6,6,4,5,6,7,7,7,6,5,7,4,7,6,4,6,7,1,1, ,2,"The biggest identifiable problem is seniority vs competence.  For example: a senior E-5 who is the epitomy of what adaptive and outstanding leadership gets rewarded for his performance by the positional promotion be it temporary or not, and is then the prblems of resentment play out with NCOs senior to him who were passed over, motivation of other leaders becomes an issue, which can be resolved and worked through, but its not exactly the easiest thing","they often times diminish perceptibly or imperceptibly the drive, desire and motivation of junior high performers",5.78125,5.9,-1,-1,-2,0,6,6,5,6,7,6,6,5,6.25,6.25,5,6,5,6.75,5,1, ,1,.286,-.5, , , , , , , ,.5,.143,.286,5.625,5.83333333333333,-.5,-.143,1,.286,.859886605244508,.426840188645455,.321512474026575,.125732015411775,-.170999522831892,.466663987007481,.868622867986533,.67873688619653, 
51,R_2WIT7rmVRdm72nL,134.240.110.199,2,1/29/2016 9:35:33,1/29/2016 9:50:56,1,2,15A,2006,1,12,6,1,6,5,4,7,6,4,3,5,5,6,3,6,4,4,5,6,5,3,3,5,7,6,6,4,5,5,6,6,2,4,5,6,6,7,5,6,3,6,4,5,6,6,2,2, ,1,Lack of legitimate and informational power,seniority does not equate to experience especially in a highly techinical field,4.90625,5.4,1,-1,1,-1,5.666666667,5.5,3.5,7,6,6,5,4.75,5,4.5,6.25,4.5,4.25,5,10,1, ,1,-.214,.5, , , , , , , ,-.5,.107,-.214,5,4.875,.5,-.107,-1,.214,-.380368532955351,-.319383917378066,-.130614442107041,-.388626229454582,-1.81992349299655,1.44443615026125,-.0620444905704673,.67873688619653, 
52,R_3iUQRVSvRk6Wf4m,134.240.202.185,2,1/29/2016 11:44:35,1/29/2016 12:05:52,1,2,70A,2006,1,8,20,1,5,7,6,4,4,6,4,6,7,5,4,5,5,6,5,4,3,3,3,5,4,3,6,5,5,7,6,4,3,6,5,5,7,5,6,5,4,5,5,6,5,7,3,1,my 1SG and I decided together with buy-in from the CSM,2,The good ones work above their pay grade for however long it is asked of them with no promise of actual promotion.  Even if they outwork those of appropriate rank there is not always something the CoC can do to expedite a promotion to made the position eqitable,"Senior NCOs are not always the most competent, yet they expect to be put in the senior position--they may even go to IG to complain about a non-existant inequity",4.875,5.5,0,2,1,1,6,6.5,4.5,5,5,5,5.25,5.75,4.5,3.75,4.25,5.75,4.25,5.5,10,1, ,1,-.114,0, , , , , , , ,.5,-.057,-.114,5.25,4.75,-.5,.057,1,-.114,-.424663359319631,-.170139096173363,.321512474026575,.640090260278131,-.720640846220112,-.511108176246289,-.992711849127468,-.193924824627579, 
53,R_DFOIVBzgTtLZDmV,67.243.133.228,2,1/29/2016 11:53:39,1/29/2016 12:12:16,1,2,19A,2007,1,12,35,1,5,5,6,7,5,6,5,6,6,5,5,5,6,4,7,5,6,6,7,5,5,6,6,5,6,4,6,5,4,5,6,5,6,6,7,7,4,7,6,5,6,7,3,1, ,2,Can rapidly change the dynamic in a small unit. especially if the more competent NCO is not the most senior. Someone with strong interpersonal skills in addition to MOS specific leadership skills are required when doing competence over seniority,Breeds a sense of complacency. That since seniority is the only measure why strive to be the most competent? Just bide my time and I'll get my opportunity.,5.46875,6.1,0,2,1,1,6,7,5,6,7,6,5.25,5,6,6.25,5.5,5.25,5,5.5,9,1, ,1,.486,0, , , , , , , ,.5,.243,.486,5.625,5.41666666666667,-.5,-.243,1,.486,.416938341601701,.725329831054862,.321512474026575,1.15444850514449,-.170999522831892,.466663987007481,.868622867986533,.67873688619653, 
54,R_2Vm6y5kCvPxDsxp,67.243.3.230,2,1/29/2016 12:38:16,1/29/2016 13:13:35,1,2,19A,2008,1,21,34,1,3,5,3,5,4,4,5,3,3,3,3,5,5,5,4,3,4,4,4,4,4,4,3,3,4,5,4,5,5,3,4,4,6,6,4,5,4,4,5,5,4,3,1,1,"Given the multiple stakeholders across the squadron, I recognized that this positional promotion was the most appropriate developmentally. It also put the most competent person in the right place on the line vs in the HQs.",2,competence within one position may not be indicative of skill across all requisite competencies,Some leaders do not put effort into their own development and can be out-paced by less senior soldiers.,3.96875,4.6,-1,-1,-2,0,5.333333333,3.5,4.5,6,4,4,3,5,3.5,4.25,3.75,4,4.75,3.5,8,1, ,1,-1.014,-.5, , , , , , , ,.5,-.507,-1.014,4,3.95833333333333,-.5,.507,1,-1.014,-1.70921332388377,-1.5133424870157,-.582741359597038,-2.44605920892001,-.720640846220112,.466663987007481,-1.92337920768447,-1.06658653545169, 
55,R_50UrygzDAHtrKqR,216.169.171.96,2,1/29/2016 18:46:35,1/29/2016 19:17:06,1,2,11A,2007,1,23,13,1,6,3,5,6,5,6,4,6,7,6,4,5,5,4,6,3,6,6,7,6,5,6,6,5,6,6,6,5,3,5,5,6,6,5,6,6,3,6,6,7,5,7,1,2, ,2,Aggravating older NCOs who believe they deserved the promotion based on time in service.,"Placing NCOs into positions that are potentially less qualified than more competent, younger NCOs. I love America.",5.3125,5.7,-1,-1,-2,0,6.333333333,6.5,4.5,5,6,5,5.75,4.25,5,6.25,5.5,5.75,4.5,5.5,9,1, ,1,.086,-.5, , , , , , , ,-.5,-.043,.086,5.125,5.375,-.5,-.043,1,.086,.195464209780298,.128350546236046,.77363939016019,.640090260278131,-.720640846220112,-.511108176246289,-.0620444905704673,-.193924824627579, 
56,R_ysYJdJhCq32zfsB,67.243.6.61,2,1/30/2016 7:30:48,1/30/2016 7:54:40,1,2,19A,2006,1,27,24,1,6,5,5,7,6,6,4,4,7,6,4,4,5,4,7,6,7,7,7,7,6,7,5,5,5,4,5,5,3,4,6,7,7,5,7,7,4,7,6,5,5,7,3,1, ,1,perceived inequity among more senior members (due to the fact our institution has a culture of promoting more senior members),"although competence is often positively correlated with seniority, it isn't always true; therefore, we may be bound to promote a less competent individual",5.5,6,0,2,1,1,6.333333333,7,5,5,7,5,5.75,4.5,6.25,7,6,5,4.25,5.25,10,1, ,1,.386,0, , , , , , , ,.5,.193,.386,5.375,5.54166666666667,-.5,-.193,1,.386,.461233167965982,.576085009850158,.77363939016019,1.15444850514449,-.170999522831892,-.511108176246289,.868622867986533,-.193924824627579, 
57,R_3PyIsGOeNI5raUG,134.240.202.196,2,1/30/2016 10:51:39,1/30/2016 11:06:02,1,2,12A,2008,1,12,11,1,5,5,4,3,4,5,4,4,6,6,3,4,5,3,5,4,5,3,3,3,3,3,4,3,3,3,5,2,5,3,3,4,4, ,4,4,5,4,5,5,3,5,1,2,The Battalion CSM put this NCO in the position against my wishes.,2,Potentially experienxe and knowledge base,The senior NCO is not always the most competent or driven/motivated individual for the job,3.90625,4.33,-1,-1,-2,0,4.333333333,4.5,5, ,4,3,5,4.25,4.5,3,3.5,3.5,4,3.5,8,1, ,1,-1.284,-.5, , , , , , , ,-.5,.642,-1.284,4.25,3.79166666666667,-.5,.642,1,-1.284,-1.79780297661233,-1.9163035042684,-1.93912210935427,-1.4173427191873,-.170999522831892, ,-1.92337920768447,-1.9392482462758, 
58,R_YYd51ROCRkvIafT,134.240.202.219,2,1/31/2016 7:35:36,1/31/2016 7:43:54,1,2,15A,2007,1,30,17,1,5,6,5,5,5,6,5,5,5,6,4,5,5,5,6,6,6,5,5,5,5,6,5,5,5,6,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,3,1, ,2,Morale issues if others view the promotion as unfair.,Inferior NCOs would be promoted based on seniority.,5.3125,6,0,2,1,1,6,6,6,6,6,6,5,5.25,5.75,5,5.25,5.5,5.25,5.5,9,1, ,1,.386,0, , , , , , , ,.5,.193,.386,5.25,5.33333333333333,-.5,-.193,1,.386,.195464209780298,.576085009850158,.321512474026575,.125732015411775,.928283123944548,.466663987007481,-.0620444905704673,.67873688619653, 
59,R_31mcbIsrJwXy2RS,139.139.19.67,2,2/1/2016 0:19:49,2/1/2016 0:43:16,1,2,11A,2006,1,23,25,1,6,4,5,7,6,5,6,4,6,4,4,3,3,4,3,5,4,4,5,6,5,6,5,4,5,4,6,6,5,4,5,4,6,5,6,6,7,7,5,5,4,6,2,2, ,2,"Lack of institutional experience and knowledge, maturity, and respect from subordinates, peers, and leaders.",Seniority does not necessarily equate to competency.,4.78125,5.7,1,-1,1,-1,5.666666667,6,6,5,7,4,5,3.5,4.25,5.5,5.5,4.5,5.75,4.25,10,1, ,1,.086,.5, , , , , , , ,-.5,-.043,.086,5.375,4.58333333333333,.5,.043,-1,-.086,-.557547838412473,.128350546236046,-.130614442107041,.125732015411775,.928283123944548,-.511108176246289,.868622867986533,-1.06658653545169, 
61,R_2Ea8zRMDQmYzMIV,99.38.104.133,2,2/1/2016 12:48:36,2/1/2016 12:59:37,1,2,25A,2007,2, ,5,1,6,7,6,6,5,7,5,6,7,6,6,7,6,6,6,7,5,6,5,7,6,6,6,6,6,7,7,7,6,6,7,6,6,7,7,7,6,7,7,7,7,7,2,1, ,2,A higher ranking NCO (including time-in-service) would feel disrespected and not a good team member.,The best NCO doesnt always get the job.,6.1875,6.8,1,-1,1,-1,6.666666667,7,6.5,7,7,7,6.25,6.5,6,6,5.75,6.5,6.25,6.25,9,1, ,1,1.186,.5, , , , , , , ,.5,.593,1.186,6,6.25,.5,.593,-1,-1.186,1.43571934798016,1.77004357948779,1.22576630765019,1.15444850514449,1.47792444733277,1.44443615026125,.868622867986533,1.55139859702064, 
64,R_1K9bnu9My1GJt8C,134.240.202.125,2,2/3/2016 11:25:44,2/9/2016 11:26:08,1,2,11A,2007,1,17,23,1,5,5,6,5,7,4,4,6,6,5,7,5,5,7,5,7,5,4,4,6,5,7,6,5,5,6,5,5,5,6,5,7,5,5,6,5,6,7,6,5,5,6,3,2,The target NCO was my acting First Sergeant who was selected by my Squadron Commander and Command Sergeant Major,2,"Creating envy, tension, and sense of unfairness among NCOs not selected",Having leaders who were less than the best in that position,5.46875,5.6,0,2,1,1,5,6,6,5,7,5,5.75,5.5,5.75,4.75,6.25,5,4.75,6,9,1, ,1,-.014,0, , , , , , , ,-.5,.007,-.014,5.25,5.54166666666667,-.5,.007,1,-.014,.416938341601701,-.0208942749686589,-1.03486827573065,.125732015411775,.928283123944548,-.511108176246289,.868622867986533,-.193924824627579, 
